Lesson Content	Conteúdo do Estudo
Jesus took the full force of the blast so we won’t have to	Jesus recebeu todo o impacto da explosão para que nós mesmos não o recebêssemos
hope	esperança
CHOICE	DECISÃO
God’s Word is the guide for guarding your heart.	A Palavra de Deus é o guia de como guardar seu coração.
Word	Palavra
God’s Word	Palavra de Deus
instructions	instruções
Word of Life’s Creative Discipleship	Programa de Discipulado Criativo da Palavra da Vida
Creative Discipleship Sheet	Folha de Discipulado Criativo
Creative Discipleship Service List	Lista de Serviço do Discipulado Criativo
(one for each student)	(um por adolescente)
(several copies)	(várias cópias)
Creative Discipleship	Discipulado Criativo
Word of Life Student Leader’s Resource Manual	Manual de Recursos para o Líder de Adolescentes
discipline is the path to excellence	a disciplina é o caminho para a excelência
Basic Training: Preparation for Spiritual Life	Treinamento Básico: Preparação Para a Vida Espiritual
quiet time	hora silenciosa
Scripture memory	memorização das Escrituras
Bible study	estudo bíblico
Gospel conversations	conversas evangelísticas
spiritual disciplines	disciplinas espirituais
excellence	excelência
Creative Discipleship Program	Programa de Discipulado Criativo
possible	possível
planning	planejamento
spiritual life	vida espiritual
disciple-making	fazer discípulos
mission trip	viagem missionária
Gospel tracts	folhetos evangelísticos
ice breaker	quebra-gelo
Tonight’s lesson is part of a four-part series called	O estudo de hoje é parte de uma série chamada
boot camp	campo de treinamento
Allow for several students to respond.	Deixe que vários adolescentes respondam.
Ask for your volunteer to come forward.	Peça para um voluntário vir à frente.
Thank you for volunteering.	Obrigado por se voluntariar.
lust	lascívia
Who is willing to volunteer?	Quem gostaria de se voluntariar?
Ask each of the volunteers to read their verse	Peça a cada voluntário que leia seu versículo.
Which one is appropriate for Scenario	Qual versículo é adequado à situação
Thank your volunteers and ask them to return to their seats.	Agradeça aos voluntários e peça para se sentarem.
Allow a student to reply.	Deixe um adolescente responder.
working with someone else who will ask tough questions to help you grow in your spiritual disciplines and convictions	trabalhar com alguém que lhe faça perguntas difíceis para ajudá-lo a manter suas disciplinas e convicções espirituais
Optional visual	Recurso visual opcional
Tonight, we begin a new series called <t0/>	Hoje começamos uma nova série, chamada <t0/>
Feel free to	Fique à vontade para
101: Back to Basics	101: De Volta ao Básico
skewed	distorcido
newness of life	novidade de vida
Tell your story for His glory	Conte sua história e dê a Deus a glória
set free from the penalty of sin by the payment of the price by the death of Christ on the cross	liberto da penalidade do pecado porque Cristo pagou o preço ao morrer na cruz
Storytelling	Contação de Histórias
tax collector	cobrador de impostos
Worksheet	Planilha
alcoholic	alcoólatra
box office	bilheteria
Jesus Story	história de Jesus
Simon Peter	Simão Pedro
uncomfortable	desconfortável
Optional illustration:	Ilustração opcional:
Personal prayer leads to praise and peace.	A oração pessoal produz louvor e paz.
communication	comunicação
Thanks for your answers.	Obrigado por responderem.
The Lord’s Prayer	oração do Pai nosso
Have someone read	Peça para alguém ler .
past, present, and future	passado, presente e futuro
As surprising as it may seem,	Por incrível que pareça,
daily needs	necessidades diárias
Allow for several responses.	Deixe que vários respondam.
worry	preocupação
anxiety	ansiedade
If time allows,	Se der tempo,
You	Você
perspective	perspectiva
Serve God by serving others	Sirva a Deus servindo aos outros
Here’s how it works	Funciona assim
Allow for a few responses	Deixe alguns adolescentes responderem
Read	Leia
Allow for a response	Deixe alguém responder
Almighty	todo-poderoso
John 3:16	João 3.16
local church	igreja local
good works	boas obras
Doctrinal Truth	Verdade Doutrinária
a submissive and teachable spirit toward God that manifests itself in genuine humility before God and gentle consideration of others without being weak in character	espírito submisso e ensinável para com Deus, manifesto em genuína humildade diante de Deus e em branda consideração para com o próximo sem, com isso, implicar fraqueza de caráter
a quality that makes a person trustworthy or reliable	qualidade que torna a pessoa confiável
uprightness of heart and life; a quality of moral excellence	retidão de coração e vida; qualidade de excelência moral
sympathetic spirit of fairness and compassion	atitude simpática de bondade e compaixão
to be patient; to bear with; to be long tempered	ser longânimo, ter um longo ânimo; suportar
a sense of calm and quietness, even in the face of adversity, based on one’s trust in God	sensação de calma e tranquilidade mesmo diante da adversidade, com base na confiança da pessoa em Deus
rejoicing, in spite of circumstances, that God is in control of everything and always has our best in mind	exultação por saber que, apesar das circunstâncias, Deus está no controle de tudo e sempre tem em mente o melhor para nós
a purposeful act of selfless giving for the good of others	ato proposital de doação altruísta pelo bem dos outros
that which originates or comes from something, an effect, result	aquilo que se origina em algo ou vem de algo; efeito, resultado
control over our desires and passions	controle sobre os próprios desejos e paixões
contest	competição
the Holy Spirit makes the impossible possible	o Espírito Santo torna possível o impossível
fruit of the Spirit	fruto do Espírito
Galatians 5:22-23	Gálatas 5.22-23
means	significa
Let’s be honest	Vamos ser sinceros:
We do what we do because we want what we want	fazemos o que fazemos porque queremos o que queremos
works of the flesh	obras da carne
patience	paciência
When the Holy Spirit is in control	Quando o Espírito Santo está no controle
When we yield to the Holy Spirit	Quando nos rendemos ao Espírito Santo
When we allow the Holy Spirit to work in us	Quando deixamos o Espírito Santo trabalhar em nós
power-up	power-up
